Material;Texto breve material;Centro;Depósito;Unid.medida básica;Nome 1;Utilização livre;Trânsito e TE;Em contr.qualidade;Bloqueado;Estoque em trânsito;Estoque do bloqueio avaliado na EM;Tipo de material;Grupo de mercadorias;Denominação depósito;Marc.p/elim.nív.dep.;Estq.não disponível;Devoluções;Vasilhame vinc.;Em transfer.(centro)
111308;TD,3P,13.8-0.22/0.127kV,75KVA,GST01/907;BMAU;;PEÇ;ENGELMIG / CAMPOS-RJ;0;12;0;0;12;0;ZMBT;FETR1502;;;0;0;0;0
111308;TD,3P,13.8-0.22/0.127kV,75KVA,GST01/907;BMBV;BMBV;PEÇ;PTF ENEL / PADUA-RJ;4;0;0;0;0;0;ZMBT;FETR1502;DEP. PTF ENEL;;0;0;0;0
111308;TD,3P,13.8-0.22/0.127kV,75KVA,GST01/907;BMBY;BMBY;PEÇ;PTF ENEL / ITAPERUNA-RJ;2;0;0;0;0;0;ZMBT;FETR1502;DEP. PTF ENEL;;0;0;0;0
111308;TD,3P,13.8-0.22/0.127kV,75KVA,GST01/907;BMTB;;PEÇ;INDICA / CANTAGALO-RJ;0;5;0;0;5;0;ZMBT;FETR1502;;;0;0;0;0
111308;TD,3P,13.8-0.22/0.127kV,75KVA,GST01/907;BMTB;BMTB;PEÇ;INDICA / CANTAGALO-RJ;0;0;4;0;0;0;ZMBT;FETR1502;DEP. INDICA;;0;0;0;0
111308;TD,3P,13.8-0.22/0.127kV,75KVA,GST01/907;BMTC;BMTC;PEÇ;INDICA / PADUA-RJ;4;0;0;0;0;0;ZMBT;FETR1502;DEP. INDICA;;0;0;0;0
111308;TD,3P,13.8-0.22/0.127kV,75KVA,GST01/907;BMTF;BMTF;PEÇ;ELLCA / ANGRA;8;0;0;0;0;0;ZMBT;FETR1502;ELLCA / ANGRA;;0;0;0;0
111308;TD,3P,13.8-0.22/0.127kV,75KVA,GST01/907;BMTG;BMTG;PEÇ;ENGELMIG / RESENDE;9;0;0;0;0;0;ZMBT;FETR1502;ENGELMIG / RESEN;;0;0;0;0
111308;TD,3P,13.8-0.22/0.127kV,75KVA,GST01/907;BMTK;BMTK;PEÇ;PROGEN / TERESOPOLIS;15;0;0;0;0;0;ZMBT;FETR1502;PROGEN / TERESOP;;0;0;0;0
111308;TD,3P,13.8-0.22/0.127kV,75KVA,GST01/907;BMTM;BMTM;PEÇ;PTF ENEL / ANGRA;5;0;0;0;0;0;ZMBT;FETR1502;DEP PTF ENEL/AN;;0;0;0;0
111308;TD,3P,13.8-0.22/0.127kV,75KVA,GST01/907;BMTO;;PEÇ;PROGEN / PETROPOLIS;0;2;0;0;2;0;ZMBT;FETR1502;;;0;0;0;0
111308;TD,3P,13.8-0.22/0.127kV,75KVA,GST01/907;BMTO;BMTO;PEÇ;PROGEN / PETROPOLIS;1;0;0;0;0;0;ZMBT;FETR1502;PROGEN / PETROPO;;0;0;0;0
111308;TD,3P,13.8-0.22/0.127kV,75KVA,GST01/907;BMTS;BMTS;PEÇ;PTF ENEL / MACAÉ;3;0;0;0;0;0;ZMBT;FETR1502;DEP PTF ENEL/MAC;;0;0;0;0
111308;TD,3P,13.8-0.22/0.127kV,75KVA,GST01/907;BMUA;BMUA;PEÇ;ELGEMIG / MARICÁ;2;0;0;0;0;0;ZMBT;FETR1502;ELGEMIG / MARICÁ;;0;0;0;0
111308;TD,3P,13.8-0.22/0.127kV,75KVA,GST01/907;BMUB;BMUB;PEÇ;PTF ENEL / CAMPOS / MANUT;18;0;0;0;0;0;ZMBT;FETR1502;DEP. PTF ENEL;;0;0;0;0
111308;TD,3P,13.8-0.22/0.127kV,75KVA,GST01/907;BMUD;;PEÇ;DEP. COMPEL;0;16;0;0;16;0;ZMBT;FETR1502;;;0;0;0;0
111308;TD,3P,13.8-0.22/0.127kV,75KVA,GST01/907;BMUD;BMUD;PEÇ;DEP. COMPEL;1;0;0;0;0;0;ZMBT;FETR1502;DEP. COMPEL;;0;0;0;0
111308;TD,3P,13.8-0.22/0.127kV,75KVA,GST01/907;BMUE;BMUE;PEÇ;PTF ENEL / MARICA / EMERG E MA;2;0;0;0;0;0;ZMBT;FETR1502;DEP.MARICA-RJ;;0;0;0;0
111308;TD,3P,13.8-0.22/0.127kV,75KVA,GST01/907;BMUF;BMUF;PEÇ;PTF ENEL / NITEROI / EMER, MAN;22;0;0;0;0;0;ZMBT;FETR1502;DEP.NITEROI-RJ;;0;0;0;0
111308;TD,3P,13.8-0.22/0.127kV,75KVA,GST01/907;BMUG;BMUG;PEÇ;PTF ENEL / ITABORAI / EMER, MA;14;0;0;0;0;0;ZMBT;FETR1502;DEP.ITABORAI-RJ;;0;0;0;0
111308;TD,3P,13.8-0.22/0.127kV,75KVA,GST01/907;BMUH;BMUH;PEÇ;ENGELMIG - SOC SOT / CABO FRIO;16;0;0;0;0;0;ZMBT;FETR1502;DEP.CABO FRIO;;0;0;0;0
111308;TD,3P,13.8-0.22/0.127kV,75KVA,GST01/907;BMUK;BMUK;PEÇ;PSE - SOT / NITERÓI;63;0;0;0;0;0;ZMBT;FETR1502;DEP.SOT/NITERÓI;;0;0;0;0
111308;TD,3P,13.8-0.22/0.127kV,75KVA,GST01/907;BMUM;BMUM;PEÇ;ELLCA - SOT / MAGÉ;28;0;0;0;0;0;ZMBT;FETR1502;DEP.MAGÉ;;0;0;0;0
111312;TD,2P,13.8-0.24/0.12kV,15KVA,GST01/904;BM01;BM11;PEÇ;PTF CENTRAL MRO / ITABORAÍ-RJ;421;0;2;5;0;0;ZMBT;FETR1502;DEP.REG. MT/BT;;0;0;0;0
111312;TD,2P,13.8-0.24/0.12kV,15KVA,GST01/904;BM05;BM52;PEÇ;COM. EXTERIOR / AQWA-RJ;20;0;0;0;0;0;ZMBT;FETR1502;Nacionalizado;;0;0;0;0
111312;TD,2P,13.8-0.24/0.12kV,15KVA,GST01/904;BMAS;BMAS;PEÇ;PROGEN / MACAÉ-RJ;20;0;0;0;0;0;ZMBT;FETR1502;DEP. PROGEN;;0;0;0;0
111312;TD,2P,13.8-0.24/0.12kV,15KVA,GST01/904;BMAT;BMAT;PEÇ;ENGELMIG / ITAPERUNA-RJ;3;0;0;0;0;0;ZMBT;FETR1502;DEP. ENGELMIG;;0;0;0;0
111312;TD,2P,13.8-0.24/0.12kV,15KVA,GST01/904;BMAU;;PEÇ;ENGELMIG / CAMPOS-RJ;0;3;0;0;3;0;ZMBT;FETR1502;;;0;0;0;0
111312;TD,2P,13.8-0.24/0.12kV,15KVA,GST01/904;BMAU;BMAU;PEÇ;ENGELMIG / CAMPOS-RJ;2;0;0;0;0;0;ZMBT;FETR1502;DEP. ENGELMIG;;0;0;0;0
111312;TD,2P,13.8-0.24/0.12kV,15KVA,GST01/904;BMBV;BMBV;PEÇ;PTF ENEL / PADUA-RJ;8;0;0;0;0;0;ZMBT;FETR1502;DEP. PTF ENEL;;0;0;0;0
111312;TD,2P,13.8-0.24/0.12kV,15KVA,GST01/904;BMBY;BMBY;PEÇ;PTF ENEL / ITAPERUNA-RJ;9;0;0;0;0;0;ZMBT;FETR1502;DEP. PTF ENEL;;0;0;0;0
111312;TD,2P,13.8-0.24/0.12kV,15KVA,GST01/904;BMTB;;PEÇ;INDICA / CANTAGALO-RJ;0;9;0;0;9;0;ZMBT;FETR1502;;;0;0;0;0
111312;TD,2P,13.8-0.24/0.12kV,15KVA,GST01/904;BMTB;BMTB;PEÇ;INDICA / CANTAGALO-RJ;0;0;3;0;0;0;ZMBT;FETR1502;DEP. INDICA;;0;0;0;0
111312;TD,2P,13.8-0.24/0.12kV,15KVA,GST01/904;BMTC;BMTC;PEÇ;INDICA / PADUA-RJ;16;0;0;0;0;0;ZMBT;FETR1502;DEP. INDICA;;0;0;0;0
111312;TD,2P,13.8-0.24/0.12kV,15KVA,GST01/904;BMTF;BMTF;PEÇ;ELLCA / ANGRA;8;0;0;0;0;0;ZMBT;FETR1502;ELLCA / ANGRA;;0;0;0;0
111312;TD,2P,13.8-0.24/0.12kV,15KVA,GST01/904;BMTG;BMTG;PEÇ;ENGELMIG / RESENDE;9;0;0;0;0;0;ZMBT;FETR1502;ENGELMIG / RESEN;;0;0;0;0
111312;TD,2P,13.8-0.24/0.12kV,15KVA,GST01/904;BMTK;BMTK;PEÇ;PROGEN / TERESOPOLIS;1;0;0;0;0;0;ZMBT;FETR1502;PROGEN / TERESOP;;0;0;0;0
111312;TD,2P,13.8-0.24/0.12kV,15KVA,GST01/904;BMTM;BMTM;PEÇ;PTF ENEL / ANGRA;3;0;0;0;0;0;ZMBT;FETR1502;DEP PTF ENEL/AN;;0;0;0;0
111312;TD,2P,13.8-0.24/0.12kV,15KVA,GST01/904;BMTO;BMTO;PEÇ;PROGEN / PETROPOLIS;3;0;0;0;0;0;ZMBT;FETR1502;PROGEN / PETROPO;;0;0;0;0
111312;TD,2P,13.8-0.24/0.12kV,15KVA,GST01/904;BMTS;BMTS;PEÇ;PTF ENEL / MACAÉ;6;0;0;0;0;0;ZMBT;FETR1502;DEP PTF ENEL/MAC;;0;0;0;0
111312;TD,2P,13.8-0.24/0.12kV,15KVA,GST01/904;BMTW;BMTW;PEÇ;PSE / NITEROI;18;0;0;0;0;0;ZMBT;FETR1502;DEP.PSE / NITERO;;0;0;0;0
111312;TD,2P,13.8-0.24/0.12kV,15KVA,GST01/904;BMUA;BMUA;PEÇ;ELGEMIG / MARICÁ;3;0;0;0;0;0;ZMBT;FETR1502;ELGEMIG / MARICÁ;;0;0;0;0
111312;TD,2P,13.8-0.24/0.12kV,15KVA,GST01/904;BMUB;BMUB;PEÇ;PTF ENEL / CAMPOS / MANUT;27;0;0;0;0;0;ZMBT;FETR1502;DEP. PTF ENEL;;0;0;0;0
111312;TD,2P,13.8-0.24/0.12kV,15KVA,GST01/904;BMUD;BMUD;PEÇ;DEP. COMPEL;3;0;0;0;0;0;ZMBT;FETR1502;DEP. COMPEL;;0;0;0;0
111312;TD,2P,13.8-0.24/0.12kV,15KVA,GST01/904;BMUE;BMUE;PEÇ;PTF ENEL / MARICA / EMERG E MA;1;0;0;0;0;0;ZMBT;FETR1502;DEP.MARICA-RJ;;0;0;0;0
111312;TD,2P,13.8-0.24/0.12kV,15KVA,GST01/904;BMUF;BMUF;PEÇ;PTF ENEL / NITEROI / EMER, MAN;6;0;0;0;0;0;ZMBT;FETR1502;DEP.NITEROI-RJ;;0;0;0;0
111312;TD,2P,13.8-0.24/0.12kV,15KVA,GST01/904;BMUG;BMUG;PEÇ;PTF ENEL / ITABORAI / EMER, MA;7;0;0;0;0;0;ZMBT;FETR1502;DEP.ITABORAI-RJ;;0;0;0;0
111312;TD,2P,13.8-0.24/0.12kV,15KVA,GST01/904;BMUH;BMUH;PEÇ;ENGELMIG - SOC SOT / CABO FRIO;6;0;0;0;0;0;ZMBT;FETR1502;DEP.CABO FRIO;;0;0;0;0
111312;TD,2P,13.8-0.24/0.12kV,15KVA,GST01/904;BMUI;BMUI;PEÇ;ENGELMIG - SOC SOT / ARARUAMA;5;0;0;0;0;0;ZMBT;FETR1502;DEP.ARARUAMA;;0;0;0;0
111312;TD,2P,13.8-0.24/0.12kV,15KVA,GST01/904;BMUK;BMUK;PEÇ;PSE - SOT / NITERÓI;9;0;0;0;0;0;ZMBT;FETR1502;DEP.SOT/NITERÓI;;0;0;0;0
111312;TD,2P,13.8-0.24/0.12kV,15KVA,GST01/904;BMUM;BMUM;PEÇ;ELLCA - SOT / MAGÉ;8;0;0;0;0;0;ZMBT;FETR1502;DEP.MAGÉ;;0;0;0;0
111315;TRAFO TRI 75KVA-FORA PADRAO;BMUD;BMUD;PEÇ;DEP. COMPEL;1;0;0;0;0;0;ZMBT;FETR0503;DEP. COMPEL;;0;0;0;0
111316;TRAFO TRIF POTÊNCIA 500KVA,DED 1853 I1R3;BM01;BM11;PEÇ;PTF CENTRAL MRO / ITABORAÍ-RJ;4;0;0;0;0;0;ZAT;FETR0503;DEP.REG. MT/BT;;0;0;0;0
111316;TRAFO TRIF POTÊNCIA 500KVA,DED 1853 I1R3;BMTM;BMTM;PEÇ;PTF ENEL / ANGRA;1;0;0;0;0;0;ZAT;FETR0503;DEP PTF ENEL/AN;;0;0;0;0
111317;TRAFO TRIF POTÊNCIA 750KVA,DED 1853 I2R3;BM01;BM11;PEÇ;PTF CENTRAL MRO / ITABORAÍ-RJ;1;0;0;0;0;0;ZAT;FETR0503;DEP.REG. MT/BT;;0;0;0;0
111319;TD,3P,13.8-0.22/0.127kV,150KVA,GST01/908;BM01;BM11;PEÇ;PTF CENTRAL MRO / ITABORAÍ-RJ;16;0;3;0;0;0;ZMBT;FETR1502;DEP.REG. MT/BT;;0;0;0;0
111319;TD,3P,13.8-0.22/0.127kV,150KVA,GST01/908;BM05;BM52;PEÇ;COM. EXTERIOR / AQWA-RJ;30;0;0;0;0;0;ZMBT;FETR1502;Nacionalizado;;0;0;0;0
111319;TD,3P,13.8-0.22/0.127kV,150KVA,GST01/908;BM76;BM76;PEÇ;HV MAGÉ / MAGÉ-RJ;4;0;0;0;0;0;ZMBT;FETR1502;DEP. AT 2 AMPLA;;0;0;0;0
111319;TD,3P,13.8-0.22/0.127kV,150KVA,GST01/908;BMAS;;PEÇ;PROGEN / MACAÉ-RJ;0;5;0;0;5;0;ZMBT;FETR1502;;;0;0;0;0
111319;TD,3P,13.8-0.22/0.127kV,150KVA,GST01/908;BMBV;BMBV;PEÇ;PTF ENEL / PADUA-RJ;7;0;0;0;0;0;ZMBT;FETR1502;DEP. PTF ENEL;;0;0;0;0
111319;TD,3P,13.8-0.22/0.127kV,150KVA,GST01/908;BMBY;BMBY;PEÇ;PTF ENEL / ITAPERUNA-RJ;3;0;0;0;0;0;ZMBT;FETR1502;DEP. PTF ENEL;;0;0;0;0
111319;TD,3P,13.8-0.22/0.127kV,150KVA,GST01/908;BMTB;BMTB;PEÇ;INDICA / CANTAGALO-RJ;2;0;3;0;0;0;ZMBT;FETR1502;DEP. INDICA;;0;0;0;0
111319;TD,3P,13.8-0.22/0.127kV,150KVA,GST01/908;BMTC;BMTC;PEÇ;INDICA / PADUA-RJ;3;0;0;0;0;0;ZMBT;FETR1502;DEP. INDICA;;0;0;0;0
111319;TD,3P,13.8-0.22/0.127kV,150KVA,GST01/908;BMTF;BMTF;PEÇ;ELLCA / ANGRA;2;0;0;0;0;0;ZMBT;FETR1502;ELLCA / ANGRA;;0;0;0;0
111319;TD,3P,13.8-0.22/0.127kV,150KVA,GST01/908;BMTG;BMTG;PEÇ;ENGELMIG / RESENDE;4;0;0;0;0;0;ZMBT;FETR1502;ENGELMIG / RESEN;;0;0;0;0
111319;TD,3P,13.8-0.22/0.127kV,150KVA,GST01/908;BMTK;BMTK;PEÇ;PROGEN / TERESOPOLIS;14;0;0;0;0;0;ZMBT;FETR1502;PROGEN / TERESOP;;0;0;0;0
111319;TD,3P,13.8-0.22/0.127kV,150KVA,GST01/908;BMTM;BMTM;PEÇ;PTF ENEL / ANGRA;5;0;0;0;0;0;ZMBT;FETR1502;DEP PTF ENEL/AN;;0;0;0;0
111319;TD,3P,13.8-0.22/0.127kV,150KVA,GST01/908;BMTS;BMTS;PEÇ;PTF ENEL / MACAÉ;1;0;0;0;0;0;ZMBT;FETR1502;DEP PTF ENEL/MAC;;0;0;0;0
111319;TD,3P,13.8-0.22/0.127kV,150KVA,GST01/908;BMUA;BMUA;PEÇ;ELGEMIG / MARICÁ;3;0;0;0;0;0;ZMBT;FETR1502;ELGEMIG / MARICÁ;;0;0;0;0
111319;TD,3P,13.8-0.22/0.127kV,150KVA,GST01/908;BMUB;BMUB;PEÇ;PTF ENEL / CAMPOS / MANUT;13;0;0;0;0;0;ZMBT;FETR1502;DEP. PTF ENEL;;0;0;0;0
111319;TD,3P,13.8-0.22/0.127kV,150KVA,GST01/908;BMUE;BMUE;PEÇ;PTF ENEL / MARICA / EMERG E MA;2;0;0;0;0;0;ZMBT;FETR1502;DEP.MARICA-RJ;;0;0;0;0
111319;TD,3P,13.8-0.22/0.127kV,150KVA,GST01/908;BMUF;BMUF;PEÇ;PTF ENEL / NITEROI / EMER, MAN;12;0;0;0;0;0;ZMBT;FETR1502;DEP.NITEROI-RJ;;0;0;0;0
111319;TD,3P,13.8-0.22/0.127kV,150KVA,GST01/908;BMUG;BMUG;PEÇ;PTF ENEL / ITABORAI / EMER, MA;19;0;0;0;0;0;ZMBT;FETR1502;DEP.ITABORAI-RJ;;0;0;0;0
111319;TD,3P,13.8-0.22/0.127kV,150KVA,GST01/908;BMUH;BMUH;PEÇ;ENGELMIG - SOC SOT / CABO FRIO;6;0;0;0;0;0;ZMBT;FETR1502;DEP.CABO FRIO;;0;0;0;0
111319;TD,3P,13.8-0.22/0.127kV,150KVA,GST01/908;BMUI;BMUI;PEÇ;ENGELMIG - SOC SOT / ARARUAMA;1;0;0;0;0;0;ZMBT;FETR1502;DEP.ARARUAMA;;0;0;0;0
111319;TD,3P,13.8-0.22/0.127kV,150KVA,GST01/908;BMUK;BMUK;PEÇ;PSE - SOT / NITERÓI;27;0;0;0;0;0;ZMBT;FETR1502;DEP.SOT/NITERÓI;;0;0;0;0
111319;TD,3P,13.8-0.22/0.127kV,150KVA,GST01/908;BMUM;;PEÇ;ELLCA - SOT / MAGÉ;0;5;0;0;5;0;ZMBT;FETR1502;;;0;0;0;0
111319;TD,3P,13.8-0.22/0.127kV,150KVA,GST01/908;BMUM;BMUM;PEÇ;ELLCA - SOT / MAGÉ;9;0;0;0;0;0;ZMBT;FETR1502;DEP.MAGÉ;;0;0;0;0
111321;TD,3P,13.8-0.22/0.127kV,300KVA,GST01/909;BMAU;;PEÇ;ENGELMIG / CAMPOS-RJ;0;1;0;0;1;0;ZMBT;FETR1502;;;0;0;0;0
111321;TD,3P,13.8-0.22/0.127kV,300KVA,GST01/909;BMTG;BMTG;PEÇ;ENGELMIG / RESENDE;2;0;0;0;0;0;ZMBT;FETR1502;ENGELMIG / RESEN;;0;0;0;0
111321;TD,3P,13.8-0.22/0.127kV,300KVA,GST01/909;BMTM;BMTM;PEÇ;PTF ENEL / ANGRA;1;0;0;0;0;0;ZMBT;FETR1502;DEP PTF ENEL/AN;;0;0;0;0
111321;TD,3P,13.8-0.22/0.127kV,300KVA,GST01/909;BMTO;BMTO;PEÇ;PROGEN / PETROPOLIS;1;0;0;0;0;0;ZMBT;FETR1502;PROGEN / PETROPO;;0;0;0;0
111321;TD,3P,13.8-0.22/0.127kV,300KVA,GST01/909;BMTS;BMTS;PEÇ;PTF ENEL / MACAÉ;2;0;0;0;0;0;ZMBT;FETR1502;DEP PTF ENEL/MAC;;0;0;0;0
111321;TD,3P,13.8-0.22/0.127kV,300KVA,GST01/909;BMUG;BMUG;PEÇ;PTF ENEL / ITABORAI / EMER, MA;1;0;0;0;0;0;ZMBT;FETR1502;DEP.ITABORAI-RJ;;0;0;0;0
111321;TD,3P,13.8-0.22/0.127kV,300KVA,GST01/909;BMUK;BMUK;PEÇ;PSE - SOT / NITERÓI;2;0;0;0;0;0;ZMBT;FETR1502;DEP.SOT/NITERÓI;;0;0;0;0
