"Material;Texto breve de material;Centro;Depósito;UM básica;Nome 1;Utilização livre;Trânsito e TE;Em ctrl.qualidade;Bloqueado;Estoque em trânsito;Estoque do bloqueio avaliado na EM;Tipo de material;Grupo de mercadorias;Descrição do depósito;Marc.p/elim.nív.dep.;Estq.não disponível;Devoluções;Vasilhame vinc.;Em transfer.(centro)"
"111269;TP,13,8KV/R3-2X115V,0,3P50,INT,PBR114010;BM01;BM11;UN;PTF CENTRAL MRO / ITABORAÍ-RJ;6;0;0;0;0;0;ZMBT;FETM2301;DEP.REG. MT/BT;;0;0;0;0"
"111271;TRAFO TRIFÁSICO 45KVA-SUC;BMBY;BMBY;PEÇ;PTF ENEL / ITAPERUNA-RJ;1;0;0;0;0;0;ZMAT;FETR0501;DEP. PTF ENEL;;0;0;0;0"
"111273;TRAFO DIST BIFASICO,15KVA - SUC;BMBY;BMBY;PEÇ;PTF ENEL / ITAPERUNA-RJ;4;0;0;0;0;0;ZMAT;FETR1100;DEP. PTF ENEL;;0;0;0;0"
"111305;TRAFO TRIFÁSICO 15KV-FORA PADRAO;BMTG;BMTG;PEÇ;ENGELMIG / RESENDE;4;0;0;0;0;0;ZMBT;FETR0501;ENGELMIG / RESEN;;0;0;0;0"
"111306;TD,3P,13.8-0.22/0.127kV,30KVA,GST01/905;BM01;BM11;PEÇ;PTF CENTRAL MRO / ITABORAÍ-RJ;1;0;0;0;0;0;ZMBT;FETR1502;DEP.REG. MT/BT;;0;0;0;0"
"111306;TD,3P,13.8-0.22/0.127kV,30KVA,GST01/905;BM05;;PEÇ;COM. EXTERIOR / AQWA-RJ;0;0;0;0;0;421;ZMBT;FETR1502;;;0;0;0;0"
"111306;TD,3P,13.8-0.22/0.127kV,30KVA,GST01/905;BMAS;BMAS;PEÇ;PROGEN / MACAÉ-RJ;9;0;0;0;0;0;ZMBT;FETR1502;DEP. PROGEN;;0;0;0;0"
"111306;TD,3P,13.8-0.22/0.127kV,30KVA,GST01/905;BMAU;;PEÇ;ENGELMIG / CAMPOS-RJ;0;13;0;0;13;0;ZMBT;FETR1502;;;0;0;0;0"
"111306;TD,3P,13.8-0.22/0.127kV,30KVA,GST01/905;BMAU;BMAU;PEÇ;ENGELMIG / CAMPOS-RJ;-9;0;0;0;0;0;ZMBT;FETR1502;DEP. ENGELMIG;;0;0;0;0"
"111306;TD,3P,13.8-0.22/0.127kV,30KVA,GST01/905;BMBV;BMBV;PEÇ;PTF ENEL / PADUA-RJ;7;0;0;0;0;0;ZMBT;FETR1502;DEP. PTF ENEL;;0;0;0;0"
"111306;TD,3P,13.8-0.22/0.127kV,30KVA,GST01/905;BMBY;BMBY;PEÇ;PTF ENEL / ITAPERUNA-RJ;1;0;0;0;0;0;ZMBT;FETR1502;DEP. PTF ENEL;;0;0;0;0"
"111306;TD,3P,13.8-0.22/0.127kV,30KVA,GST01/905;BMTB;BMTB;PEÇ;INDICA / CANTAGALO-RJ;6;0;1;0;0;0;ZMBT;FETR1502;DEP. INDICA;;0;0;0;0"
"111306;TD,3P,13.8-0.22/0.127kV,30KVA,GST01/905;BMTC;BMTC;PEÇ;INDICA / PADUA-RJ;2;0;0;0;0;0;ZMBT;FETR1502;DEP. INDICA;;0;0;0;0"
"111306;TD,3P,13.8-0.22/0.127kV,30KVA,GST01/905;BMTF;BMTF;PEÇ;ELLCA / ANGRA;6;0;0;0;0;0;ZMBT;FETR1502;ELLCA / ANGRA;;0;0;0;0"
"111306;TD,3P,13.8-0.22/0.127kV,30KVA,GST01/905;BMTG;BMTG;PEÇ;ENGELMIG / RESENDE;1;0;0;0;0;0;ZMBT;FETR1502;ENGELMIG / RESEN;;0;0;0;0"
"111306;TD,3P,13.8-0.22/0.127kV,30KVA,GST01/905;BMTM;BMTM;PEÇ;PTF ENEL / ANGRA;7;0;0;0;0;0;ZMBT;FETR1502;DEP PTF ENEL/AN;;0;0;0;0"
"111306;TD,3P,13.8-0.22/0.127kV,30KVA,GST01/905;BMTO;BMTO;PEÇ;PROGEN / PETROPOLIS;3;0;0;0;0;0;ZMBT;FETR1502;PROGEN / PETROPO;;0;0;0;0"
"111306;TD,3P,13.8-0.22/0.127kV,30KVA,GST01/905;BMTS;BMTS;PEÇ;PTF ENEL / MACAÉ;1;0;0;0;0;0;ZMBT;FETR1502;DEP PTF ENEL/MAC;;0;0;0;0"
"111306;TD,3P,13.8-0.22/0.127kV,30KVA,GST01/905;BMUA;BMUA;PEÇ;ELGEMIG / MARICÁ;0;0;0;1;0;0;ZMBT;FETR1502;ELGEMIG / MARICÁ;;0;0;0;0"
"111306;TD,3P,13.8-0.22/0.127kV,30KVA,GST01/905;BMUB;BMUB;PEÇ;PTF ENEL / CAMPOS / MANUT;6;0;0;0;0;0;ZMBT;FETR1502;DEP. PTF ENEL;;0;0;0;0"
"111306;TD,3P,13.8-0.22/0.127kV,30KVA,GST01/905;BMUD;BMUD;PEÇ;DEP. COMPEL;10;0;0;0;0;0;ZMBT;FETR1502;DEP. COMPEL;;0;0;0;0"
"111306;TD,3P,13.8-0.22/0.127kV,30KVA,GST01/905;BMUE;BMUE;PEÇ;PTF ENEL / MARICA / EMERG E MA;2;0;0;0;0;0;ZMBT;FETR1502;DEP.MARICA-RJ;;0;0;0;0"
"111306;TD,3P,13.8-0.22/0.127kV,30KVA,GST01/905;BMUF;BMUF;PEÇ;PTF ENEL / NITEROI / EMER, MAN;10;0;0;0;0;0;ZMBT;FETR1502;DEP.NITEROI-RJ;;0;0;0;0"
"111306;TD,3P,13.8-0.22/0.127kV,30KVA,GST01/905;BMUG;BMUG;PEÇ;PTF ENEL / ITABORAI / EMER, MA;8;0;0;0;0;0;ZMBT;FETR1502;DEP.ITABORAI-RJ;;0;0;0;0"
"111306;TD,3P,13.8-0.22/0.127kV,30KVA,GST01/905;BMUH;BMUH;PEÇ;ENGELMIG - SOC SOT / CABO FRIO;5;0;0;0;0;0;ZMBT;FETR1502;DEP.CABO FRIO;;0;0;0;0"
"111306;TD,3P,13.8-0.22/0.127kV,30KVA,GST01/905;BMUK;BMUK;PEÇ;PSE - SOT / NITERÓI;22;0;0;0;0;0;ZMBT;FETR1502;DEP.SOT/NITERÓI;;0;0;0;0"
"111306;TD,3P,13.8-0.22/0.127kV,30KVA,GST01/905;BMUM;BMUM;PEÇ;ELLCA - SOT / MAGÉ;12;0;0;0;0;0;ZMBT;FETR1502;DEP.MAGÉ;;0;0;0;0"
"111307;TD,3P,13.8-0.22/0.127kV,45KVA,GST01/906;BMAU;BMAU;PEÇ;ENGELMIG / CAMPOS-RJ;3;0;0;0;0;0;ZMBT;FETR1502;DEP. ENGELMIG;;0;0;0;0"
"111308;TD,3P,13.8-0.22/0.127kV,75KVA,GST01/907;BM01;BM11;PEÇ;PTF CENTRAL MRO / ITABORAÍ-RJ;377;0;5;1;0;0;ZMBT;FETR1502;DEP.REG. MT/BT;;0;0;0;0"
"111308;TD,3P,13.8-0.22/0.127kV,75KVA,GST01/907;BMAS;BMAS;PEÇ;PROGEN / MACAÉ-RJ;6;0;0;0;0;0;ZMBT;FETR1502;DEP. PROGEN;;0;0;0;0"
"111308;TD,3P,13.8-0.22/0.127kV,75KVA,GST01/907;BMAT;BMAT;PEÇ;ENGELMIG / ITAPERUNA-RJ;2;0;0;0;0;0;ZMBT;FETR1502;DEP. ENGELMIG;;0;0;0;0"
"111308;TD,3P,13.8-0.22/0.127kV,75KVA,GST01/907;BMAU;;PEÇ;ENGELMIG / CAMPOS-RJ;0;10;0;0;10;0;ZMBT;FETR1502;;;0;0;0;0"
"111308;TD,3P,13.8-0.22/0.127kV,75KVA,GST01/907;BMBV;BMBV;PEÇ;PTF ENEL / PADUA-RJ;4;0;0;0;0;0;ZMBT;FETR1502;DEP. PTF ENEL;;0;0;0;0"
"111308;TD,3P,13.8-0.22/0.127kV,75KVA,GST01/907;BMBY;BMBY;PEÇ;PTF ENEL / ITAPERUNA-RJ;3;0;0;0;0;0;ZMBT;FETR1502;DEP. PTF ENEL;;0;0;0;0"
"111308;TD,3P,13.8-0.22/0.127kV,75KVA,GST01/907;BMTB;BMTB;PEÇ;INDICA / CANTAGALO-RJ;6;0;1;0;0;0;ZMBT;FETR1502;DEP. INDICA;;0;0;0;0"
"111308;TD,3P,13.8-0.22/0.127kV,75KVA,GST01/907;BMTC;BMTC;PEÇ;INDICA / PADUA-RJ;7;0;0;0;0;0;ZMBT;FETR1502;DEP. INDICA;;0;0;0;0"
"111308;TD,3P,13.8-0.22/0.127kV,75KVA,GST01/907;BMTF;BMTF;PEÇ;ELLCA / ANGRA;4;0;0;0;0;0;ZMBT;FETR1502;ELLCA / ANGRA;;0;0;0;0"
"111308;TD,3P,13.8-0.22/0.127kV,75KVA,GST01/907;BMTG;;PEÇ;ENGELMIG / RESENDE;0;2;0;0;2;0;ZMBT;FETR1502;;;0;0;0;0"
"111308;TD,3P,13.8-0.22/0.127kV,75KVA,GST01/907;BMTG;BMTG;PEÇ;ENGELMIG / RESENDE;6;0;0;0;0;0;ZMBT;FETR1502;ENGELMIG / RESEN;;0;0;0;0"
"111308;TD,3P,13.8-0.22/0.127kV,75KVA,GST01/907;BMTK;BMTK;PEÇ;PROGEN / TERESOPOLIS;14;0;0;0;0;0;ZMBT;FETR1502;PROGEN / TERESOP;;0;0;0;0"
"111308;TD,3P,13.8-0.22/0.127kV,75KVA,GST01/907;BMTM;BMTM;PEÇ;PTF ENEL / ANGRA;5;0;0;0;0;0;ZMBT;FETR1502;DEP PTF ENEL/AN;;0;0;0;0"
"111308;TD,3P,13.8-0.22/0.127kV,75KVA,GST01/907;BMTO;BMTO;PEÇ;PROGEN / PETROPOLIS;11;0;0;0;0;0;ZMBT;FETR1502;PROGEN / PETROPO;;0;0;0;0"
"111308;TD,3P,13.8-0.22/0.127kV,75KVA,GST01/907;BMTS;BMTS;PEÇ;PTF ENEL / MACAÉ;3;0;0;0;0;0;ZMBT;FETR1502;DEP PTF ENEL/MAC;;0;0;0;0"
"111308;TD,3P,13.8-0.22/0.127kV,75KVA,GST01/907;BMUA;BMUA;PEÇ;ELGEMIG / MARICÁ;21;0;0;0;0;0;ZMBT;FETR1502;ELGEMIG / MARICÁ;;0;0;0;0"
"111308;TD,3P,13.8-0.22/0.127kV,75KVA,GST01/907;BMUB;BMUB;PEÇ;PTF ENEL / CAMPOS / MANUT;9;0;0;0;0;0;ZMBT;FETR1502;DEP. PTF ENEL;;0;0;0;0"
"111308;TD,3P,13.8-0.22/0.127kV,75KVA,GST01/907;BMUD;BMUD;PEÇ;DEP. COMPEL;9;0;0;0;0;0;ZMBT;FETR1502;DEP. COMPEL;;0;0;0;0"
"111308;TD,3P,13.8-0.22/0.127kV,75KVA,GST01/907;BMUE;BMUE;PEÇ;PTF ENEL / MARICA / EMERG E MA;2;0;0;0;0;0;ZMBT;FETR1502;DEP.MARICA-RJ;;0;0;0;0"
"111308;TD,3P,13.8-0.22/0.127kV,75KVA,GST01/907;BMUF;BMUF;PEÇ;PTF ENEL / NITEROI / EMER, MAN;20;0;0;0;0;0;ZMBT;FETR1502;DEP.NITEROI-RJ;;0;0;0;0"
"111308;TD,3P,13.8-0.22/0.127kV,75KVA,GST01/907;BMUG;BMUG;PEÇ;PTF ENEL / ITABORAI / EMER, MA;12;0;0;0;0;0;ZMBT;FETR1502;DEP.ITABORAI-RJ;;0;0;0;0"
"111308;TD,3P,13.8-0.22/0.127kV,75KVA,GST01/907;BMUH;;PEÇ;ENGELMIG - SOC SOT / CABO FRIO;0;24;0;0;24;0;ZMBT;FETR1502;;;0;0;0;0"
"111308;TD,3P,13.8-0.22/0.127kV,75KVA,GST01/907;BMUH;BMUH;PEÇ;ENGELMIG - SOC SOT / CABO FRIO;3;0;0;0;0;0;ZMBT;FETR1502;DEP.CABO FRIO;;0;0;0;0"
"111308;TD,3P,13.8-0.22/0.127kV,75KVA,GST01/907;BMUI;BMUI;PEÇ;ENGELMIG - SOC SOT / ARARUAMA;3;0;0;0;0;0;ZMBT;FETR1502;DEP.ARARUAMA;;0;0;0;0"
"111308;TD,3P,13.8-0.22/0.127kV,75KVA,GST01/907;BMUK;BMUK;PEÇ;PSE - SOT / NITERÓI;49;0;0;0;0;0;ZMBT;FETR1502;DEP.SOT/NITERÓI;;0;0;0;0"
"111308;TD,3P,13.8-0.22/0.127kV,75KVA,GST01/907;BMUM;BMUM;PEÇ;ELLCA - SOT / MAGÉ;38;0;0;0;0;0;ZMBT;FETR1502;DEP.MAGÉ;;0;0;0;0"
"111308;TD,3P,13.8-0.22/0.127kV,75KVA,GST01/907;BMUS;;PEÇ;INDICA ANGRA;0;3;0;0;3;0;ZMBT;FETR1502;;;0;0;0;0"
"111312;TD,2P,13.8-0.24/0.12kV,15KVA,GST01/904;BM01;BM11;PEÇ;PTF CENTRAL MRO / ITABORAÍ-RJ;356;0;2;5;0;0;ZMBT;FETR1502;DEP.REG. MT/BT;;0;0;0;0"
"111312;TD,2P,13.8-0.24/0.12kV,15KVA,GST01/904;BMAS;BMAS;PEÇ;PROGEN / MACAÉ-RJ;12;0;0;0;0;0;ZMBT;FETR1502;DEP. PROGEN;;0;0;0;0"
"111312;TD,2P,13.8-0.24/0.12kV,15KVA,GST01/904;BMAT;BMAT;PEÇ;ENGELMIG / ITAPERUNA-RJ;6;0;0;0;0;0;ZMBT;FETR1502;DEP. ENGELMIG;;0;0;0;0"
"111312;TD,2P,13.8-0.24/0.12kV,15KVA,GST01/904;BMAU;BMAU;PEÇ;ENGELMIG / CAMPOS-RJ;2;0;0;0;0;0;ZMBT;FETR1502;DEP. ENGELMIG;;0;0;0;0"
"111312;TD,2P,13.8-0.24/0.12kV,15KVA,GST01/904;BMBV;BMBV;PEÇ;PTF ENEL / PADUA-RJ;6;0;0;0;0;0;ZMBT;FETR1502;DEP. PTF ENEL;;0;0;0;0"
"111312;TD,2P,13.8-0.24/0.12kV,15KVA,GST01/904;BMBY;BMBY;PEÇ;PTF ENEL / ITAPERUNA-RJ;9;0;0;0;0;0;ZMBT;FETR1502;DEP. PTF ENEL;;0;0;0;0"
"111312;TD,2P,13.8-0.24/0.12kV,15KVA,GST01/904;BMTB;;PEÇ;INDICA / CANTAGALO-RJ;0;6;0;0;6;0;ZMBT;FETR1502;;;0;0;0;0"
"111312;TD,2P,13.8-0.24/0.12kV,15KVA,GST01/904;BMTB;BMTB;PEÇ;INDICA / CANTAGALO-RJ;16;0;2;0;0;0;ZMBT;FETR1502;DEP. INDICA;;0;0;0;0"
"111312;TD,2P,13.8-0.24/0.12kV,15KVA,GST01/904;BMTC;;PEÇ;INDICA / PADUA-RJ;0;5;0;0;5;0;ZMBT;FETR1502;;;0;0;0;0"
"111312;TD,2P,13.8-0.24/0.12kV,15KVA,GST01/904;BMTC;BMTC;PEÇ;INDICA / PADUA-RJ;13;0;0;0;0;0;ZMBT;FETR1502;DEP. INDICA;;0;0;0;0"
"111312;TD,2P,13.8-0.24/0.12kV,15KVA,GST01/904;BMTF;BMTF;PEÇ;ELLCA / ANGRA;6;0;0;0;0;0;ZMBT;FETR1502;ELLCA / ANGRA;;0;0;0;0"
"111312;TD,2P,13.8-0.24/0.12kV,15KVA,GST01/904;BMTG;BMTG;PEÇ;ENGELMIG / RESENDE;8;0;0;0;0;0;ZMBT;FETR1502;ENGELMIG / RESEN;;0;0;0;0"
"111312;TD,2P,13.8-0.24/0.12kV,15KVA,GST01/904;BMTK;BMTK;PEÇ;PROGEN / TERESOPOLIS;5;0;0;0;0;0;ZMBT;FETR1502;PROGEN / TERESOP;;0;0;0;0"
"111312;TD,2P,13.8-0.24/0.12kV,15KVA,GST01/904;BMTM;BMTM;PEÇ;PTF ENEL / ANGRA;8;0;0;0;0;0;ZMBT;FETR1502;DEP PTF ENEL/AN;;0;0;0;0"
"111312;TD,2P,13.8-0.24/0.12kV,15KVA,GST01/904;BMTO;BMTO;PEÇ;PROGEN / PETROPOLIS;3;0;0;0;0;0;ZMBT;FETR1502;PROGEN / PETROPO;;0;0;0;0"
"111312;TD,2P,13.8-0.24/0.12kV,15KVA,GST01/904;BMTS;BMTS;PEÇ;PTF ENEL / MACAÉ;5;0;0;0;0;0;ZMBT;FETR1502;DEP PTF ENEL/MAC;;0;0;0;0"
"111312;TD,2P,13.8-0.24/0.12kV,15KVA,GST01/904;BMUA;BMUA;PEÇ;ELGEMIG / MARICÁ;1;0;0;0;0;0;ZMBT;FETR1502;ELGEMIG / MARICÁ;;0;0;0;0"
"111312;TD,2P,13.8-0.24/0.12kV,15KVA,GST01/904;BMUB;BMUB;PEÇ;PTF ENEL / CAMPOS / MANUT;22;0;0;0;0;0;ZMBT;FETR1502;DEP. PTF ENEL;;0;0;0;0"
"111312;TD,2P,13.8-0.24/0.12kV,15KVA,GST01/904;BMUD;;PEÇ;DEP. COMPEL;0;1;0;0;1;0;ZMBT;FETR1502;;;0;0;0;0"
"111312;TD,2P,13.8-0.24/0.12kV,15KVA,GST01/904;BMUD;BMUD;PEÇ;DEP. COMPEL;2;0;0;0;0;0;ZMBT;FETR1502;DEP. COMPEL;;0;0;0;0"
"111312;TD,2P,13.8-0.24/0.12kV,15KVA,GST01/904;BMUE;BMUE;PEÇ;PTF ENEL / MARICA / EMERG E MA;1;0;0;0;0;0;ZMBT;FETR1502;DEP.MARICA-RJ;;0;0;0;0"
"111312;TD,2P,13.8-0.24/0.12kV,15KVA,GST01/904;BMUF;BMUF;PEÇ;PTF ENEL / NITEROI / EMER, MAN;6;0;0;0;0;0;ZMBT;FETR1502;DEP.NITEROI-RJ;;0;0;0;0"
"111312;TD,2P,13.8-0.24/0.12kV,15KVA,GST01/904;BMUG;BMUG;PEÇ;PTF ENEL / ITABORAI / EMER, MA;5;0;0;0;0;0;ZMBT;FETR1502;DEP.ITABORAI-RJ;;0;0;0;0"
"111312;TD,2P,13.8-0.24/0.12kV,15KVA,GST01/904;BMUH;BMUH;PEÇ;ENGELMIG - SOC SOT / CABO FRIO;8;0;0;0;0;0;ZMBT;FETR1502;DEP.CABO FRIO;;0;0;0;0"
"111312;TD,2P,13.8-0.24/0.12kV,15KVA,GST01/904;BMUI;BMUI;PEÇ;ENGELMIG - SOC SOT / ARARUAMA;5;0;0;0;0;0;ZMBT;FETR1502;DEP.ARARUAMA;;0;0;0;0"
"111312;TD,2P,13.8-0.24/0.12kV,15KVA,GST01/904;BMUK;BMUK;PEÇ;PSE - SOT / NITERÓI;27;0;0;0;0;0;ZMBT;FETR1502;DEP.SOT/NITERÓI;;0;0;0;0"
"111312;TD,2P,13.8-0.24/0.12kV,15KVA,GST01/904;BMUM;BMUM;PEÇ;ELLCA - SOT / MAGÉ;14;0;0;0;0;0;ZMBT;FETR1502;DEP.MAGÉ;;0;0;0;0"
"111312;TD,2P,13.8-0.24/0.12kV,15KVA,GST01/904;BMUS;;PEÇ;INDICA ANGRA;0;1;0;0;1;0;ZMBT;FETR1502;;;0;0;0;0"
"111315;TRAFO TRI 75KVA-FORA PADRAO;BMUD;BMUD;PEÇ;DEP. COMPEL;1;0;0;0;0;0;ZMBT;FETR0503;DEP. COMPEL;;0;0;0;0"
"111316;TRAFO TRIF POTÊNCIA 500KVA,DED 1853 I1R3;BM01;BM11;PEÇ;PTF CENTRAL MRO / ITABORAÍ-RJ;4;0;0;0;0;0;ZAT;FETR0503;DEP.REG. MT/BT;;0;0;0;0"
"111316;TRAFO TRIF POTÊNCIA 500KVA,DED 1853 I1R3;BMTM;BMTM;PEÇ;PTF ENEL / ANGRA;1;0;0;0;0;0;ZAT;FETR0503;DEP PTF ENEL/AN;;0;0;0;0"
"111317;TRAFO TRIF POTÊNCIA 750KVA,DED 1853 I2R3;BM01;BM11;PEÇ;PTF CENTRAL MRO / ITABORAÍ-RJ;1;0;0;0;0;0;ZAT;FETR0503;DEP.REG. MT/BT;;0;0;0;0"
"111319;TD,3P,13.8-0.22/0.127kV,150KVA,GST01/908;BM01;BM11;PEÇ;PTF CENTRAL MRO / ITABORAÍ-RJ;70;0;3;0;0;0;ZMBT;FETR1502;DEP.REG. MT/BT;;0;0;0;0"
"111319;TD,3P,13.8-0.22/0.127kV,150KVA,GST01/908;BM76;BM76;PEÇ;HV MAGÉ / MAGÉ-RJ;4;0;0;0;0;0;ZMBT;FETR1502;DEP. AT 2 AMPLA;;0;0;0;0"
"111319;TD,3P,13.8-0.22/0.127kV,150KVA,GST01/908;BMAS;BMAS;PEÇ;PROGEN / MACAÉ-RJ;17;0;0;0;0;0;ZMBT;FETR1502;DEP. PROGEN;;0;0;0;0"
"111319;TD,3P,13.8-0.22/0.127kV,150KVA,GST01/908;BMAT;BMAT;PEÇ;ENGELMIG / ITAPERUNA-RJ;3;0;0;0;0;0;ZMBT;FETR1502;DEP. ENGELMIG;;0;0;0;0"
"111319;TD,3P,13.8-0.22/0.127kV,150KVA,GST01/908;BMBV;BMBV;PEÇ;PTF ENEL / PADUA-RJ;5;0;0;0;0;0;ZMBT;FETR1502;DEP. PTF ENEL;;0;0;0;0"
"111319;TD,3P,13.8-0.22/0.127kV,150KVA,GST01/908;BMBY;BMBY;PEÇ;PTF ENEL / ITAPERUNA-RJ;2;0;0;0;0;0;ZMBT;FETR1502;DEP. PTF ENEL;;0;0;0;0"
"111319;TD,3P,13.8-0.22/0.127kV,150KVA,GST01/908;BMTB;BMTB;PEÇ;INDICA / CANTAGALO-RJ;6;0;3;0;0;0;ZMBT;FETR1502;DEP. INDICA;;0;0;0;0"
"111319;TD,3P,13.8-0.22/0.127kV,150KVA,GST01/908;BMTC;BMTC;PEÇ;INDICA / PADUA-RJ;4;0;0;0;0;0;ZMBT;FETR1502;DEP. INDICA;;0;0;0;0"
"111319;TD,3P,13.8-0.22/0.127kV,150KVA,GST01/908;BMTF;BMTF;PEÇ;ELLCA / ANGRA;6;0;0;0;0;0;ZMBT;FETR1502;ELLCA / ANGRA;;0;0;0;0"
"111319;TD,3P,13.8-0.22/0.127kV,150KVA,GST01/908;BMTG;;PEÇ;ENGELMIG / RESENDE;0;2;0;0;2;0;ZMBT;FETR1502;;;0;0;0;0"
"111319;TD,3P,13.8-0.22/0.127kV,150KVA,GST01/908;BMTG;BMTG;PEÇ;ENGELMIG / RESENDE;3;0;0;0;0;0;ZMBT;FETR1502;ENGELMIG / RESEN;;0;0;0;0"
"111319;TD,3P,13.8-0.22/0.127kV,150KVA,GST01/908;BMTK;BMTK;PEÇ;PROGEN / TERESOPOLIS;13;0;0;0;0;0;ZMBT;FETR1502;PROGEN / TERESOP;;0;0;0;0"
"111319;TD,3P,13.8-0.22/0.127kV,150KVA,GST01/908;BMTM;BMTM;PEÇ;PTF ENEL / ANGRA;5;0;0;0;0;0;ZMBT;FETR1502;DEP PTF ENEL/AN;;0;0;0;0"
"111319;TD,3P,13.8-0.22/0.127kV,150KVA,GST01/908;BMTS;BMTS;PEÇ;PTF ENEL / MACAÉ;2;0;0;0;0;0;ZMBT;FETR1502;DEP PTF ENEL/MAC;;0;0;0;0"
"111319;TD,3P,13.8-0.22/0.127kV,150KVA,GST01/908;BMTW;BMTW;PEÇ;PSE / NITEROI;1;0;0;0;0;0;ZMBT;FETR1502;DEP.PSE / NITERO;;0;0;0;0"
"111319;TD,3P,13.8-0.22/0.127kV,150KVA,GST01/908;BMUA;BMUA;PEÇ;ELGEMIG / MARICÁ;11;0;0;0;0;0;ZMBT;FETR1502;ELGEMIG / MARICÁ;;0;0;0;0"
"111319;TD,3P,13.8-0.22/0.127kV,150KVA,GST01/908;BMUB;BMUB;PEÇ;PTF ENEL / CAMPOS / MANUT;12;0;0;0;0;0;ZMBT;FETR1502;DEP. PTF ENEL;;0;0;0;0"
"111319;TD,3P,13.8-0.22/0.127kV,150KVA,GST01/908;BMUE;BMUE;PEÇ;PTF ENEL / MARICA / EMERG E MA;2;0;0;0;0;0;ZMBT;FETR1502;DEP.MARICA-RJ;;0;0;0;0"
"111319;TD,3P,13.8-0.22/0.127kV,150KVA,GST01/908;BMUF;BMUF;PEÇ;PTF ENEL / NITEROI / EMER, MAN;15;0;0;0;0;0;ZMBT;FETR1502;DEP.NITEROI-RJ;;0;0;0;0"
